=== SDS Log 2026-06-01 23:27:27 mode=all ===
[OK] 79200-56-9 | (-)-2-Azabicyclo[2.2.1]hept-5-en-3-one | files=1 | ChemBlink/Alfa-Aesar
[OK] 111-70-6 | 1-Heptanol | files=1 | ChemBlink/Alfa-Aesar
[OK] 592-76-7 | 1-Heptene | files=1 | ChemBlink/Alfa-Aesar
[OK] 628-71-7 | 1-Heptyne | files=1 | ChemBlink/Alfa-Aesar
[OK] 36653-82-4 | 1-Hexadecanol | files=1 | ChemBlink/Alfa-Aesar
[OK] 2832-45-3 | 1-Hexanesulfonic acid sodium salt Monohydrate | files=1 | ChemBlink/Alfa-Aesar
[OK] 592-41-6 | 1-Hexene | files=1 | ChemBlink/Alfa-Aesar
[OK] 693-02-7 | 1-Hexyne | files=1 | ChemBlink/Alfa-Aesar
[OK] 5077-67-8 | 1-Hydroxy-2-butanone | files=1 | ChemBlink/Sigma-Aldrich
[OK] 90-05-1 | 1-Hydroxy-2-methoxybenzene | files=1 | ChemBlink/Alfa-Aesar
[OK] 86-48-6 | 1-Hydroxy-2-naphthoic Acid | files=1 | ChemBlink/Alfa-Aesar
[OK] 636-98-6 | 1-Iod-4-nitrobenzene | files=1 | ChemBlink/Alfa-Aesar
[OK] 513-38-2 | 1-Iodo-2-methylpropane | files=1 | ChemBlink/Alfa-Aesar
[OK] 541-28-6 | 1-Iodo-3-methylbutane | files=1 | ChemBlink/Alfa-Aesar
[OK] 542-69-8 | 1-Iodobutane | files=1 | ChemBlink/Alfa-Aesar
[OK] 544-77-4 | 1-Iodohexadecane | files=1 | ChemBlink/Alfa-Aesar
[OK] 90-14-2 | 1-Iodonaphthalene | files=1 | ChemBlink/Alfa-Aesar
[OK] 629-27-6 | 1-Iodooctane | files=1 | ChemBlink/Alfa-Aesar
[OK] 628-17-1 | 1-Iodopentane | files=1 | ChemBlink/Alfa-Aesar
[OK] 107-08-4 | 1-Iodopropane | files=1 | ChemBlink/Alfa-Aesar
[OK] 2687-96-9 | 1-Lauryl-2-pyrrolidone | files=1 | ChemBlink/Sigma-Aldrich
[OK] 107-25-5 | 1-Methoxyethylene | files=1 | CAS-Search (www.chemicalbook.com)
[OK] 693-89-0 | 1-Methyl-1-cyclopentene | files=1 | ChemBlink/Alfa-Aesar
[OK] 872-50-4 | 1-Methyl-2-pyrrolidone | files=1 | ChemBlink/Alfa-Aesar
[OK] 23007-85-4 | 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine hydrochloride | files=1 | ChemBlink/Sigma-Aldrich
[OK] 1445-73-4 | 1-Methyl-4-piperidinone | files=1 | ChemBlink/Alfa-Aesar
[OK] 90-12-0 | 1-Methylnaphthalene | files=1 | ChemBlink/Alfa-Aesar
[OK] 109-01-3 | 1-Methylpiperazine | files=1 | ChemBlink/Alfa-Aesar
[OK] 626-67-5 | 1-Methylpiperidine | files=1 | ChemBlink/Alfa-Aesar
[OK] 96-54-8 | 1-Methylpyrrole | files=1 | ChemBlink/Alfa-Aesar
[OK] 936-52-7 | 1-Morpholinocyclopentene | files=1 | ChemBlink/Alfa-Aesar
[OK] 66-77-3 | 1-Naphthalenecarboxaldehyde | files=1 | ChemBlink/Alfa-Aesar
[OK] 90-15-3 | 1-Naphthol | files=1 | ChemBlink/Alfa-Aesar
[OK] 879-18-5 | 1-Naphthoyl chloride | files=1 | ChemBlink/Alfa-Aesar
[OK] 830-81-9 | 1-Naphthyl acetate | files=1 | ChemBlink/Alfa-Aesar
[OK] 86-87-3 | 1-Naphthylacetic acid | files=1 | ChemBlink/Alfa-Aesar
[OK] 552-46-5 | 1-Naphthylamine hydrochloride | files=1 | ChemBlink/Alfa-Aesar
[OK] 86-57-7 | 1-Nitronaphthalene | files=1 | ChemBlink/Alfa-Aesar
[OK] 108-03-2 | 1-Nitropropane | files=1 | ChemBlink/Alfa-Aesar
[OK] 131-91-9 | 1-nitroso-2-naphthol | files=1 | ChemBlink/Alfa-Aesar
[OK] 143-08-8 | 1-Nonanol | files=1 | ChemBlink/Alfa-Aesar
[OK] 3452-09-3 | 1-Nonyne | files=1 | ChemBlink/Alfa-Aesar
[NOTFOUND] 123312-54-9 | 1-Octadecanaminium, N,N-dimethyl-N-octadecyl-, sulfate (1:1)
[OK] 112-92-5 | 1-Octadecanol | files=1 | ChemBlink/Alfa-Aesar
[OK] 5324-84-5 | 1-Octane sulfanic acid sodium salt | files=1 | ChemBlink/Alfa-Aesar
[OK] 111-88-6 | 1-Octanethiol | files=1 | ChemBlink/Alfa-Aesar
[OK] 111-87-5 | 1-Octanol | files=1 | ChemBlink/Alfa-Aesar
[OK] 3391-86-4 | 1-Octen-3-ol | files=1 | ChemBlink/Alfa-Aesar
[OK] 111-66-0 | 1-Octene | files=1 | ChemBlink/Alfa-Aesar
[OK] 818-72-4 | 1-Octyn-3-ol | files=1 | ChemBlink/Alfa-Aesar
[OK] 629-05-0 | 1-Octyne | files=1 | ChemBlink/Alfa-Aesar
[OK] 110-66-7 | 1-Pentanethiol | files=1 | ChemBlink/Alfa-Aesar
[OK] 616-25-1 | 1-Penten-3-ol | files=1 | ChemBlink/Alfa-Aesar
[OK] 109-67-1 | 1-Pentene | files=1 | ChemBlink/Alfa-Aesar
[OK] 627-19-0 | 1-Pentyne | files=1 | ChemBlink/Alfa-Aesar
[OK] 86-93-1 | 1-Phenyl-1H-tetrazole-5-thiol | files=1 | ChemBlink/Alfa-Aesar
[OK] 103-79-7 | 1-Phenyl-2-propanone | files=1 | ChemBlink/Acros-Organics
[OK] 89-25-8 | 1-phenyl-3-methyl-5-pyrazolone | files=1 | ChemBlink/Alfa-Aesar
[OK] 92-43-3 | 1-Phenyl-3-pyrazolidinone | files=1 | ChemBlink/Alfa-Aesar
[OK] 104-51-8 | 1-Phenylbutane | files=1 | ChemBlink/Alfa-Aesar
[OK] 538-68-1 | 1-Phenylpentane | files=1 | ChemBlink/Alfa-Aesar
[OK] 68957-94-8 | 1-Propanephosphonic acid cyclic anhydride | files=1 | ChemBlink/Alfa-Aesar
[OK] 10147-36-1 | 1-Propanesulfonyl chloride | files=1 | ChemBlink/Alfa-Aesar
[OK] 7473-98-5 | 1-Propanone, 2-hydroxy-2-methyl-1-phenyl- | files=1 | ChemBlink/Sigma-Aldrich
[OK] 71868-10-5 | 1-Propanone, 2-methyl-1-(4-(methylthio)phenyl)-2-(4-morpholinyl)- | files=1 | ChemBlink/Sigma-Aldrich
[OK] 64709-55-3 | 1-Pyreneacetic acid | files=1 | ChemBlink/Sigma-Aldrich
[OK] 67000-89-9 | 1-Pyrenebutanol | files=1 | ChemBlink/Sigma-Aldrich
[OK] 5108-96-3 | 1-pyrrolidinecarbodithionic acid Ammonium salt | files=1 | ChemBlink/Alfa-Aesar
[OK] 3178-22-1 | 1-tert-Butylcyclohexane | files=1 | ChemBlink/Alfa-Aesar
[OK] 112-72-1 | 1-Tetradecanol | files=1 | ChemBlink/Alfa-Aesar
[OK] 2437-56-1 | 1-Tridecene | files=1 | ChemBlink/Alfa-Aesar
[OK] 1072-63-5 | 1-Vinylimidazole | files=1 | ChemBlink/Alfa-Aesar
